Name of Politician,Twitter Handle,Party Belongs to
Dr. Daljit Cheema,Dr_Cheema1 ‏,Akali Dal
Manjinder S Sirsa,mssirsa,Akali Dal
Eknath Shinde,mieknathshinde,Shiv Sena
Subhash Desau,Subhash_Desai,Shiv Sena
Gajanan Kirtikar,GajananKirtikar,Shiv Sena
Bhagwant Mann,BhagwantMann,AAP
Ankit Lal,AnkitLal,AAP
Shrikant Eknath Shindi,DrSEShinde,Shiv Sena
Aditya Thakeray,AUThackeray,Shiv Sena
Sharmistha Mukherjee,Sharmistha_GK,INC
Amrita Dhawan,AmritaDhawan1 ‏,INC
Praful Patel,praful_patel,NCP
Singai GRamachandran,RamaAIADMK,AIADMK
Pandiarajan K,mafoikprajan,AIADMK
Hari Prabhakaran,Hariadmk,AIADMK
Dr. P. Thiaga Rajan,ptrmadurai‏,DMK
Derek O'Brien,derekobrienmp,TMC
Abhishek Banerjee,abhishekaitc,TMC
Subramanian Swamy,Swamy39,BJP
