Party Accounts,Party Handles,Party
BJP for Karnataka,BJP4Karnataka‏,BJP
BJP for India,BJP4India‏,BJP
INC Karnataka,INCKarnataka,INC
INC India,INCIndia,INC
INC TamilNadu,INCTamilNadu,INC
PMO India,PMOIndia,BJP
CPIM,cpimspeak,Marxist
All India Mahila Congress,MahilaCongress ‏,INC
INC Sandesh,INCSandesh ‏,INC
NCP,NCPspeaks,NCP
TMC,AITCofficial,TMC
BJP Maharashtra,BJP4Maharashtra,BJP
BJP Delhi,BJP4Delhi,BJP
BJP Gujrat,BJP4Gujarat,BJP
BJP UP,BJP4UP,BJP
